# explicit euler integration of y_t = sin(y(t))
time; value
0;0.5
0.01;0.504794
0.02;0.509631
0.03;0.514509
0.04;0.51943
0.05;0.524394
0.06;0.529401
0.07;0.534451
0.08;0.539545
0.09;0.544682
0.1;0.549864
0.11;0.555089
0.12;0.56036
0.13;0.565674
0.14;0.571034
0.15;0.576439
0.16;0.58189
0.17;0.587386
0.18;0.592928
0.19;0.598516
0.2;0.60415
0.21;0.60983
0.22;0.615558
0.23;0.621332
0.24;0.627153
0.25;0.633021
0.26;0.638937
0.27;0.644901
0.28;0.650912
0.29;0.656971
0.3;0.663078
0.31;0.669234
0.32;0.675438
0.33;0.68169
0.34;0.687991
0.35;0.694341
0.36;0.70074
0.37;0.707187
0.38;0.713684
0.39;0.720231
0.4;0.726826
0.41;0.733471
0.42;0.740166
0.43;0.74691
0.44;0.753704
0.45;0.760547
0.46;0.76744
0.47;0.774383
0.48;0.781376
0.49;0.788419
0.5;0.795511
0.51;0.802653
0.52;0.809845
0.53;0.817087
0.54;0.824378
0.55;0.83172
0.56;0.839111
0.57;0.846551
0.58;0.854041
0.59;0.861581
0.6;0.869169
0.61;0.876807
0.62;0.884494
0.63;0.89223
0.64;0.900015
0.65;0.907848
0.66;0.91573
0.67;0.92366
0.68;0.931638
0.69;0.939664
0.7;0.947738
0.71;0.955859
0.72;0.964027
0.73;0.972242
0.74;0.980503
0.75;0.988811
0.76;0.997165
0.77;1.00556
0.78;1.01401
0.79;1.0225
0.8;1.03103
0.81;1.03961
0.82;1.04823
0.83;1.0569
0.84;1.06561
0.85;1.07436
0.86;1.08315
0.87;1.09198
0.88;1.10086
0.89;1.10978
0.9;1.11873
0.91;1.12773
0.92;1.13676
0.93;1.14583
0.94;1.15495
0.95;1.16409
0.96;1.17328
0.97;1.1825
0.98;1.19175
0.99;1.20104
1;1.21037
